NODE_1_length_267451_cov_420.750746 267451
NODE_2_length_162170_cov_321.684922 162170
NODE_3_length_128496_cov_354.562471 128496
NODE_4_length_113403_cov_397.573311 113403
NODE_5_length_98826_cov_551.284216 98826
NODE_6_length_89463_cov_310.223435 89463
NODE_7_length_88787_cov_444.457299 88787
NODE_8_length_87167_cov_493.444919 87167
NODE_9_length_82727_cov_374.458996 82727
NODE_10_length_82719_cov_473.189432 82719
NODE_11_length_79306_cov_504.016055 79306
NODE_12_length_70046_cov_300.633466 70046
NODE_13_length_69420_cov_372.530219 69420
NODE_14_length_56985_cov_428.861144 56985
NODE_15_length_56060_cov_326.548024 56060
NODE_16_length_47130_cov_419.173655 47130
NODE_17_length_46303_cov_445.198460 46303
NODE_18_length_42196_cov_453.026069 42196
NODE_19_length_37749_cov_298.775138 37749
NODE_20_length_35494_cov_282.619025 35494
NODE_21_length_32239_cov_530.564735 32239
NODE_23_length_29826_cov_416.118122 29826
NODE_24_length_29178_cov_418.042748 29178
NODE_25_length_27621_cov_360.328275 27621
NODE_26_length_26527_cov_461.633989 26527
NODE_27_length_23988_cov_452.589645 23988
NODE_28_length_22188_cov_358.322554 22188
NODE_29_length_21987_cov_372.902784 21987
NODE_30_length_21194_cov_258.863854 21194
NODE_31_length_20851_cov_343.592375 20851
NODE_32_length_19003_cov_236.898922 19003
NODE_34_length_15190_cov_642.230662 15190
NODE_35_length_14543_cov_251.251348 14543
NODE_36_length_13343_cov_310.918740 13343
NODE_37_length_12809_cov_86.471254 12809
NODE_38_length_12486_cov_494.432992 12486
NODE_39_length_11158_cov_376.773486 11158
NODE_40_length_10387_cov_199.473521 10387
NODE_41_length_9803_cov_301.344438 9803
NODE_43_length_8876_cov_435.244573 8876
NODE_45_length_8235_cov_388.943736 8235
NODE_46_length_7882_cov_359.304805 7882
NODE_49_length_7363_cov_416.156327 7363
NODE_50_length_7297_cov_356.147230 7297
NODE_51_length_7106_cov_229.275715 7106
NODE_53_length_6329_cov_393.768074 6329
NODE_54_length_6192_cov_371.226492 6192
NODE_58_length_5571_cov_2071.321806 5571
NODE_61_length_5306_cov_378.944349 5306
NODE_63_length_4741_cov_411.190823 4741
NODE_64_length_4584_cov_462.368094 4584
NODE_66_length_4201_cov_318.178952 4201
NODE_70_length_3822_cov_363.020027 3822
NODE_74_length_3419_cov_94.739078 3419
NODE_76_length_2955_cov_413.757123 2955
NODE_80_length_2665_cov_327.173493 2665
NODE_85_length_2157_cov_121.556731 2157
NODE_86_length_2082_cov_324.031920 2082
NODE_92_length_1807_cov_23.798844 1807
NODE_94_length_1634_cov_101.766859 1634
NODE_100_length_1455_cov_43.587808 1455
NODE_101_length_1453_cov_448.677326 1453
NODE_109_length_1293_cov_328.036184 1293
NODE_113_length_1172_cov_48.893151 1172
NODE_114_length_1166_cov_63.750230 1166
NODE_115_length_1159_cov_72.798521 1159
NODE_116_length_1146_cov_53.598690 1146
NODE_125_length_1001_cov_11.888528 1001
