NODE_1_length_267451_cov_420.750746	5718	7241	-	MGA_5
NODE_1_length_267451_cov_420.750746	36376	36864	-	MGA_28
NODE_1_length_267451_cov_420.750746	54015	54371	+	MGA_39
NODE_1_length_267451_cov_420.750746	54396	55568	-	MGA_40
NODE_1_length_267451_cov_420.750746	55555	57345	-	MGA_41
NODE_1_length_267451_cov_420.750746	63415	64092	+	MGA_47
NODE_1_length_267451_cov_420.750746	64224	64928	-	MGA_48
NODE_1_length_267451_cov_420.750746	64928	65788	-	MGA_49
NODE_1_length_267451_cov_420.750746	65785	66873	-	MGA_50
NODE_1_length_267451_cov_420.750746	66878	67804	-	MGA_51
NODE_1_length_267451_cov_420.750746	68046	69233	-	MGA_52
NODE_1_length_267451_cov_420.750746	69506	70390	-	MGA_53
NODE_1_length_267451_cov_420.750746	76376	76600	-	MGA_60
NODE_1_length_267451_cov_420.750746	83475	83807	-	MGA_68
NODE_1_length_267451_cov_420.750746	83738	84244	-	MGA_69
NODE_1_length_267451_cov_420.750746	122428	122841	+	MGA_103
NODE_1_length_267451_cov_420.750746	154806	156122	-	MGA_131
NODE_1_length_267451_cov_420.750746	171240	171392	-	MGA_142
NODE_1_length_267451_cov_420.750746	191454	191852	+	MGA_158
NODE_1_length_267451_cov_420.750746	267030	267407	+	MGA_233
NODE_2_length_162170_cov_321.684922	6027	6743	+	MGA_239
NODE_2_length_162170_cov_321.684922	55524	57119	+	MGA_285
NODE_2_length_162170_cov_321.684922	89199	89318	+	MGA_314
NODE_2_length_162170_cov_321.684922	89452	90816	-	MGA_315
NODE_2_length_162170_cov_321.684922	94768	94956	+	MGA_320
NODE_2_length_162170_cov_321.684922	95427	95597	+	MGA_321
NODE_2_length_162170_cov_321.684922	103873	104013	-	MGA_326
NODE_2_length_162170_cov_321.684922	104169	104729	-	MGA_327
NODE_2_length_162170_cov_321.684922	104805	104975	+	MGA_328
NODE_2_length_162170_cov_321.684922	104985	105200	+	MGA_329
NODE_2_length_162170_cov_321.684922	112962	113792	+	MGA_336
NODE_2_length_162170_cov_321.684922	113931	114473	+	MGA_337
NODE_2_length_162170_cov_321.684922	114561	115385	-	MGA_338
NODE_2_length_162170_cov_321.684922	115693	116202	+	MGA_339
NODE_2_length_162170_cov_321.684922	117046	117273	-	MGA_340
NODE_2_length_162170_cov_321.684922	117396	117980	+	MGA_341
NODE_2_length_162170_cov_321.684922	118493	120103	+	MGA_342
NODE_2_length_162170_cov_321.684922	120118	121023	+	MGA_343
NODE_2_length_162170_cov_321.684922	121048	122040	+	MGA_344
NODE_2_length_162170_cov_321.684922	122068	122373	+	MGA_345
NODE_2_length_162170_cov_321.684922	123283	124362	-	MGA_346
NODE_2_length_162170_cov_321.684922	125154	125459	+	MGA_347
NODE_2_length_162170_cov_321.684922	125447	125611	-	MGA_348
NODE_2_length_162170_cov_321.684922	135908	139138	+	MGA_358
NODE_2_length_162170_cov_321.684922	154490	154672	+	MGA_374
NODE_2_length_162170_cov_321.684922	158573	158785	+	MGA_379
NODE_3_length_128496_cov_354.562471	2386	3729	-	MGA_391
NODE_3_length_128496_cov_354.562471	3751	4437	-	MGA_392
NODE_3_length_128496_cov_354.562471	8430	8630	+	MGA_397
NODE_3_length_128496_cov_354.562471	8693	8908	-	MGA_398
NODE_3_length_128496_cov_354.562471	52754	53575	+	MGA_432
NODE_3_length_128496_cov_354.562471	59988	61010	+	MGA_437
NODE_3_length_128496_cov_354.562471	60982	61176	+	MGA_438
NODE_3_length_128496_cov_354.562471	61296	62621	-	MGA_439
NODE_3_length_128496_cov_354.562471	79713	79916	-	MGA_453
NODE_3_length_128496_cov_354.562471	124142	124411	-	MGA_491
NODE_4_length_113403_cov_397.573311	14130	15629	-	MGA_509
NODE_4_length_113403_cov_397.573311	25884	26135	+	MGA_514
NODE_4_length_113403_cov_397.573311	27223	27435	-	MGA_516
NODE_4_length_113403_cov_397.573311	34637	34966	+	MGA_522
NODE_4_length_113403_cov_397.573311	35009	35425	+	MGA_523
NODE_4_length_113403_cov_397.573311	35422	35793	+	MGA_524
NODE_4_length_113403_cov_397.573311	36127	36573	+	MGA_525
NODE_4_length_113403_cov_397.573311	55938	56258	-	MGA_544
NODE_4_length_113403_cov_397.573311	88194	88394	+	MGA_575
NODE_4_length_113403_cov_397.573311	104588	105067	+	MGA_589
NODE_5_length_98826_cov_551.284216	8579	9370	-	MGA_601
NODE_5_length_98826_cov_551.284216	9354	10340	-	MGA_602
NODE_5_length_98826_cov_551.284216	10432	12060	-	MGA_603
NODE_5_length_98826_cov_551.284216	12158	19879	-	MGA_604
NODE_5_length_98826_cov_551.284216	27908	28135	-	MGA_611
NODE_5_length_98826_cov_551.284216	46351	50223	+	MGA_625
NODE_5_length_98826_cov_551.284216	69291	70004	+	MGA_641
NODE_5_length_98826_cov_551.284216	70001	71587	+	MGA_642
NODE_5_length_98826_cov_551.284216	75639	76631	-	MGA_646
NODE_5_length_98826_cov_551.284216	76942	77190	+	MGA_647
NODE_5_length_98826_cov_551.284216	97829	98692	+	MGA_666
NODE_6_length_89463_cov_310.223435	23774	24163	+	MGA_684
NODE_6_length_89463_cov_310.223435	24448	24750	+	MGA_685
NODE_6_length_89463_cov_310.223435	29088	32378	-	MGA_689
NODE_6_length_89463_cov_310.223435	77189	77659	-	MGA_721
NODE_7_length_88787_cov_444.457299	1032	2336	+	MGA_734
NODE_7_length_88787_cov_444.457299	36775	38232	+	MGA_760
NODE_7_length_88787_cov_444.457299	46951	47109	+	MGA_767
NODE_7_length_88787_cov_444.457299	47113	50319	-	MGA_768
NODE_7_length_88787_cov_444.457299	50392	50811	-	MGA_769
NODE_7_length_88787_cov_444.457299	50947	52200	+	MGA_770
NODE_7_length_88787_cov_444.457299	52288	52800	+	MGA_771
NODE_7_length_88787_cov_444.457299	59938	60669	-	MGA_776
NODE_7_length_88787_cov_444.457299	77585	78640	-	MGA_790
NODE_7_length_88787_cov_444.457299	78637	79602	-	MGA_791
NODE_7_length_88787_cov_444.457299	79599	80801	-	MGA_792
NODE_8_length_87167_cov_493.444919	29759	30136	-	MGA_813
NODE_8_length_87167_cov_493.444919	36998	39226	+	MGA_818
NODE_8_length_87167_cov_493.444919	39254	40219	+	MGA_819
NODE_8_length_87167_cov_493.444919	40391	41548	-	MGA_820
NODE_8_length_87167_cov_493.444919	41922	43331	+	MGA_821
NODE_8_length_87167_cov_493.444919	43383	43694	+	MGA_822
NODE_8_length_87167_cov_493.444919	48076	50541	+	MGA_825
NODE_8_length_87167_cov_493.444919	50525	50737	+	MGA_826
NODE_8_length_87167_cov_493.444919	50891	52636	-	MGA_827
NODE_8_length_87167_cov_493.444919	52793	54388	-	MGA_828
NODE_8_length_87167_cov_493.444919	54504	56636	+	MGA_829
NODE_8_length_87167_cov_493.444919	56752	57810	+	MGA_830
NODE_8_length_87167_cov_493.444919	57923	58867	-	MGA_831
NODE_8_length_87167_cov_493.444919	59132	60166	+	MGA_832
NODE_8_length_87167_cov_493.444919	60583	61899	+	MGA_833
NODE_8_length_87167_cov_493.444919	62038	62991	+	MGA_834
NODE_8_length_87167_cov_493.444919	62988	63914	+	MGA_835
NODE_8_length_87167_cov_493.444919	64245	64577	+	MGA_836
NODE_8_length_87167_cov_493.444919	66718	66984	-	MGA_839
NODE_8_length_87167_cov_493.444919	78039	78347	-	MGA_847
NODE_8_length_87167_cov_493.444919	78578	79333	-	MGA_848
NODE_8_length_87167_cov_493.444919	79485	80513	-	MGA_849
NODE_8_length_87167_cov_493.444919	80887	82599	+	MGA_850
NODE_8_length_87167_cov_493.444919	82818	86057	+	MGA_851
NODE_8_length_87167_cov_493.444919	86121	86957	-	MGA_852
NODE_9_length_82727_cov_374.458996	39888	40175	-	MGA_888
NODE_10_length_82719_cov_473.189432	16513	16761	+	MGA_937
NODE_10_length_82719_cov_473.189432	62790	64049	-	MGA_972
NODE_10_length_82719_cov_473.189432	64117	64755	-	MGA_973
NODE_10_length_82719_cov_473.189432	64800	65201	-	MGA_974
NODE_10_length_82719_cov_473.189432	65495	67435	+	MGA_975
NODE_10_length_82719_cov_473.189432	67540	68478	-	MGA_976
NODE_10_length_82719_cov_473.189432	68481	70130	-	MGA_977
NODE_10_length_82719_cov_473.189432	70321	70557	+	MGA_978
NODE_10_length_82719_cov_473.189432	70565	72523	-	MGA_979
NODE_10_length_82719_cov_473.189432	72562	73680	-	MGA_980
NODE_10_length_82719_cov_473.189432	73843	75051	+	MGA_981
NODE_10_length_82719_cov_473.189432	75161	75994	+	MGA_982
NODE_10_length_82719_cov_473.189432	75994	77274	+	MGA_983
NODE_10_length_82719_cov_473.189432	77521	78591	+	MGA_984
NODE_10_length_82719_cov_473.189432	78942	79760	+	MGA_985
NODE_10_length_82719_cov_473.189432	79810	81945	-	MGA_986
