NODE_1_length_187160_cov_1866.663299 187160
NODE_2_length_148394_cov_2288.447872 148394
NODE_3_length_145402_cov_1582.300836 145402
NODE_4_length_144984_cov_2113.488148 144984
NODE_5_length_113474_cov_1254.666817 113474
NODE_6_length_102042_cov_2219.627245 102042
NODE_7_length_101157_cov_1982.892066 101157
NODE_8_length_97464_cov_1917.731217 97464
NODE_9_length_88986_cov_2119.908221 88986
NODE_10_length_81978_cov_2030.005348 81978
NODE_11_length_81631_cov_2194.542745 81631
NODE_12_length_68275_cov_2192.915907 68275
NODE_13_length_58891_cov_1622.461013 58891
NODE_14_length_57743_cov_1871.618822 57743
NODE_15_length_56402_cov_1571.558384 56402
NODE_16_length_55919_cov_2129.389904 55919
NODE_17_length_55754_cov_1458.347989 55754
NODE_18_length_53397_cov_2030.835671 53397
NODE_19_length_46997_cov_2195.375597 46997
NODE_20_length_39422_cov_2472.612454 39422
NODE_21_length_37413_cov_2060.392704 37413
NODE_22_length_31132_cov_1839.625986 31132
NODE_23_length_28903_cov_1500.341879 28903
NODE_24_length_26690_cov_2024.141961 26690
NODE_25_length_23320_cov_1540.261455 23320
NODE_26_length_21606_cov_1846.169353 21606
NODE_27_length_20609_cov_1518.277031 20609
NODE_28_length_20474_cov_2260.535667 20474
NODE_29_length_19074_cov_2154.282729 19074
NODE_30_length_18433_cov_2041.639246 18433
NODE_31_length_17815_cov_848.378284 17815
NODE_32_length_16901_cov_1946.288695 16901
NODE_33_length_16642_cov_1061.883067 16642
NODE_34_length_15262_cov_1863.108594 15262
NODE_37_length_12398_cov_1474.204448 12398
NODE_39_length_11590_cov_2429.454703 11590
NODE_41_length_10630_cov_765.839572 10630
NODE_42_length_10438_cov_2075.632661 10438
NODE_44_length_9360_cov_1979.675105 9360
NODE_45_length_8808_cov_26.908602 8808
NODE_46_length_8791_cov_1266.725614 8791
NODE_48_length_8086_cov_1515.470845 8086
NODE_49_length_8038_cov_2260.670519 8038
NODE_51_length_6774_cov_2151.458116 6774
NODE_58_length_4960_cov_2292.241860 4960
NODE_60_length_3539_cov_9254.717215 3539
NODE_64_length_2785_cov_2949.235229 2785
NODE_66_length_2409_cov_1504.589623 2409
NODE_67_length_2408_cov_748.520807 2408
NODE_71_length_2087_cov_1380.289552 2087
NODE_74_length_1716_cov_21.624771 1716
NODE_75_length_1713_cov_6712.817237 1713
NODE_80_length_1497_cov_4.712676 1497
NODE_83_length_1399_cov_2740.801059 1399
NODE_85_length_1368_cov_2.573199 1368
NODE_88_length_1296_cov_1536.039377 1296
NODE_90_length_1230_cov_2.560278 1230
NODE_91_length_1225_cov_2.824913 1225
NODE_96_length_1050_cov_5.320658 1050
NODE_97_length_1034_cov_4.233020 1034
NODE_98_length_1025_cov_3.444093 1025
