NODE_1_length_187160_cov_1866.663299	733	1104	+	MGA_1
NODE_1_length_187160_cov_1866.663299	1110	1580	+	MGA_2
NODE_1_length_187160_cov_1866.663299	1612	3735	+	MGA_3
NODE_1_length_187160_cov_1866.663299	3908	5107	+	MGA_4
NODE_1_length_187160_cov_1866.663299	6183	7001	+	MGA_6
NODE_1_length_187160_cov_1866.663299	7171	8235	+	MGA_7
NODE_1_length_187160_cov_1866.663299	8292	8777	-	MGA_8
NODE_1_length_187160_cov_1866.663299	8852	9220	-	MGA_9
NODE_1_length_187160_cov_1866.663299	9217	9753	-	MGA_10
NODE_1_length_187160_cov_1866.663299	11571	11762	+	MGA_12
NODE_1_length_187160_cov_1866.663299	11783	13162	-	MGA_13
NODE_1_length_187160_cov_1866.663299	13426	13596	-	MGA_14
NODE_1_length_187160_cov_1866.663299	14363	16867	+	MGA_16
NODE_1_length_187160_cov_1866.663299	17035	18393	+	MGA_17
NODE_1_length_187160_cov_1866.663299	18549	19637	+	MGA_18
NODE_1_length_187160_cov_1866.663299	19660	20247	+	MGA_19
NODE_1_length_187160_cov_1866.663299	20427	21863	-	MGA_20
NODE_1_length_187160_cov_1866.663299	22183	22965	-	MGA_21
NODE_1_length_187160_cov_1866.663299	24688	25311	-	MGA_23
NODE_1_length_187160_cov_1866.663299	25403	26770	+	MGA_24
NODE_1_length_187160_cov_1866.663299	27070	27669	+	MGA_25
NODE_1_length_187160_cov_1866.663299	27669	29144	+	MGA_26
NODE_1_length_187160_cov_1866.663299	29141	29968	+	MGA_27
NODE_1_length_187160_cov_1866.663299	30164	31042	+	MGA_28
NODE_1_length_187160_cov_1866.663299	31096	32163	+	MGA_29
NODE_1_length_187160_cov_1866.663299	32171	34780	+	MGA_30
NODE_1_length_187160_cov_1866.663299	34811	35497	+	MGA_31
NODE_1_length_187160_cov_1866.663299	35596	36690	+	MGA_32
NODE_1_length_187160_cov_1866.663299	36687	37862	+	MGA_33
